data_id,name,main_category,sub_cat,main_cat,lat,lng,neighborhood
553293,masco site office,corporate office,company,"Stores, offices and commercial services",24.8519719,46.538962,ml
549831,laakilook,clothing store,Store,"Stores, offices and commercial services",24.8126794,46.6074727,ml
549826,almalqa car wash,car wash,Commercial_service,"Stores, offices and commercial services",24.8170778,46.5964186,ml
549821,global systems development co,computer support and services,company,"Stores, offices and commercial services",24.8166185,46.5978015,ml
549812,stormnology,technical service,company,"Stores, offices and commercial services",24.8164468,46.5970423,ml
549759,playground,road construction company,company,"Stores, offices and commercial services",24.8195591,46.5575118,ml
550872,top for education consultancy,education center,delete,delete,24.82189,46.6153843,ml
550871,visualizit,information services,company,"Stores, offices and commercial services",24.8247348,46.614955,ml
550865,catering,catering food and drink supplier,company,"Stores, offices and commercial services",24.8247348,46.614955,ml
549856,alasim  partners law firm,legal services,company,"Stores, offices and commercial services",24.8147922,46.6108757,ml
549854,cyan office building in finshing process,office equipment rental service,Commercial_service,"Stores, offices and commercial services",24.8185275,46.6175635,ml
549852,arla foods head office,corporate office,company,"Stores, offices and commercial services",24.8175655,46.6179551,ml
549848,qnb data center,computer support and services,company,"Stores, offices and commercial services",24.8182871,46.6084161,ml
549847,sahabhub,investment service,company,"Stores, offices and commercial services",24.8122928,46.6009358,ml
549842,mobily riyadh malqa data center,telecommunications service provider,company,"Stores, offices and commercial services",24.8180032,46.6085263,ml
549840,taha alabaddi marketing services,internet marketing service,Markets,"Stores, offices and commercial services",24.8112303,46.5999285,ml
549836,cooling and ac workshops,air conditioning repair service,Commercial_service,"Stores, offices and commercial services",24.8125236,46.6016358,ml
549018,sagal car rental,car dealer,Commercial_service,"Stores, offices and commercial services",24.8036899,46.6251983,ml
549012,invominds office,computer support and services,company,"Stores, offices and commercial services",24.80827,46.6195963,ml
549008,a total of shuraidah for trade and investment,investment service,company,"Stores, offices and commercial services",24.8094651,46.6192204,ml
549005,essence event,party equipment rental service,Commercial_service,"Stores, offices and commercial services",24.808291,46.619202,ml
549001,right service saudi arabia branch,marketing agency,company,"Stores, offices and commercial services",24.810229,46.6212308,ml
548976,asfar plaza,hotel,Hotel,Hopspitality,24.800812,46.6250589,ml
548967,kitchenpark,food producer,Markets,"Stores, offices and commercial services",24.8024377,46.6248767,ml
548966,tmreya al malqa,chocolate shop,Commercial_service,"Stores, offices and commercial services",24.8084709,46.6195242,ml
548951,alissa auto headquarters ,corporate office,company,"Stores, offices and commercial services",24.8069748,46.6160348,ml
548941,bycofee,coffee shop,Commercial_service,"Stores, offices and commercial services",24.8057554,46.6152573,ml
548940,book a resto,food and beverage consultant,company,"Stores, offices and commercial services",24.8069065,46.6134194,ml
548937,integral information services,information services,company,"Stores, offices and commercial services",24.8069159,46.61579,ml
548935,keir international,telecommunications service provider,company,"Stores, offices and commercial services",24.8085632,46.6131629,ml
548934,amazon hub counter  9round,shipping and mailing service,delete,delete,24.805744,46.610747,ml
548933,iris technology saudi arabia,computer security service,company,"Stores, offices and commercial services",24.807845,46.6156495,ml
548932,chain reaction,internet marketing service,Markets,"Stores, offices and commercial services",24.8065194,46.6151569,ml
