l_neighborhood,deal_price,area_size,meter_price,lng,lat,uuid,rs_score
rd,1080000,350.0,3086,46.7570458,24.7272769,c1442e7b-ddd2-48db-b7c4-79d49412754e,0.2132
ml,11000000,560.0,19643,46.6135725,24.8011131,eaab2273-b0da-407f-a0e2-170b94f19d9d,0.7886
ml,4590000,600.0,7650,46.5944825,24.7943267,2be6d20a-bf6d-4a32-8459-d80deb18979a,0.7518
ml,41760000,2610.0,16000,46.6272842,24.7990219,1f0a475e-4d34-42ce-af59-de8cebe00664,0.7992
nr,2000000,500.0,4000,46.6568976,24.8852713,4fc312b5-bbe7-4f45-9c22-25a5ad94ae79,0.6514
shf,1110000,750.0,1480,46.7138029,24.5729787,9740b522-97c5-4013-87f3-da0428a39ab2,0.6973
rd,3000000,990.0,3030,46.773574,24.7361468,db9aeae1-242c-4227-8105-fd0b44735451,0.1647
shf,700000,440.0,1591,46.6938224,24.5628939,8e037bac-8fc5-41ba-9c05-71632ca20633,0.7102
rd,1570000,471.0,3333,46.775922,24.7401678,a8575137-592c-4e26-9572-a9686827c176,0.1649
ml,421538,625.0,674,46.6228688,24.7983353,042d5f09-3524-4ec7-8918-0e52ee8f4e00,0.8043
nr,5200000,877.5,5926,46.6655723,24.8588076,60b11a9e-de5a-4ee8-b2b3-1a6380e4cca2,0.7596
shf,1123835,275.0,4087,46.7118982,24.5748609,630887d0-215b-40c4-8186-f1b75ef8d269,0.7064
ml,5000000,745.88,6703,46.6206349,24.8033547,bc5aa271-de4f-4f49-85e7-0c4bcd425513,0.7986
nr,1720000,430.0,4000,46.6574093,24.8861146,520204ff-769a-43ed-b91c-f31c5e8a8a35,0.6456
rd,2200000,750.0,2933,46.7637753,24.7318161,c4265068-baf4-4fa3-b106-4112f2222c2f,0.2011
ml,37000000,900.0,41111,46.6260504,24.8017843,015f3235-3de2-45d8-8231-811eda82dd19,0.806
rd,1550000,450.0,3444,46.7685914,24.7315505,cb705723-aecf-4e85-bd83-434054ad4334,0.1742
shf,804000,525.0,1531,46.6953854,24.5546573,4ebcbdb4-35ae-4f5f-a163-5b9e01baab30,0.7173
ml,4875000,750.0,6500,46.6107832,24.8159332,7b621b12-6d66-4959-af7d-1e8312b7b06d,0.8037
ml,2701000,379.5,7117,46.5869122,24.7866091,eb2ecce4-3a6f-4212-822f-cffd2314e16a,0.719
nr,2250000,450.0,5000,46.6571497,24.8715084,9e5c621c-33e8-4015-a905-f73c5c03f6fd,0.7242
tn,4340711,782.0,5551,46.6917357,24.7712128,a3af30df-9bee-4808-9895-ba3ca4c9f7ff,0.7147
shf,500000,750.0,667,46.6841422,24.5562014,ff5d8143-8a67-41b2-bf2b-0c8e1f36b873,0.7012
shf,390221,750.0,520,46.6957811,24.5508637,6434ba2d-350b-4545-83aa-89033cffeeed,0.722
ml,12164286,667.04,18236,46.5939576,24.7929698,24069373-3fd9-47be-ab8b-16d88df4f561,0.746
nr,1740006,300.0,5800,46.678216,24.8219619,6c18f814-8385-43ce-a49b-60036957fa4d,0.7778
ml,4469456,720.88,6200,46.6148043,24.8041607,29296280-ad43-48f3-8fe7-9c73de069f0a,0.7979
